parcel,idx,hemi,network,md
L_V1,1,LH,Visual1,none
L_MST,2,LH,Visual2,none
L_V6,3,LH,Visual2,none
L_V2,4,LH,Visual2,none
L_V3,5,LH,Visual2,none
L_V4,6,LH,Visual2,none
L_V8,7,LH,Visual2,none
L_4,8,LH,Somatomotor,none
L_3b,9,LH,Somatomotor,none
L_FEF,10,LH,Cingulo-Opercular,none
L_PEF,11,LH,Dorsal-Attention,none
L_55b,12,LH,Language,none
L_V3A,13,LH,Visual2,none
L_RSC,14,LH,Frontoparietal,none
L_POS2,15,LH,Frontoparietal,none
L_V7,16,LH,Visual2,none
L_IPS1,17,LH,Visual2,none
L_FFC,18,LH,Visual2,none
L_V3B,19,LH,Visual2,none
L_LO1,20,LH,Visual2,none
L_LO2,21,LH,Visual2,none
L_PIT,22,LH,Visual2,none
L_MT,23,LH,Visual2,none
L_A1,24,LH,Auditory,none
L_PSL,25,LH,Language,none
L_SFL,26,LH,Language,none
L_PCV,27,LH,Posterior-Multimodal,none
L_STV,28,LH,Language,none
L_7Pm,29,LH,Frontoparietal,none
L_7m,30,LH,Default,none
L_POS1,31,LH,Default,none
L_23d,32,LH,Default,none
L_v23ab,33,LH,Default,none
L_d23ab,34,LH,Default,none
L_31pv,35,LH,Default,none
L_5m,36,LH,Somatomotor,none
L_5mv,37,LH,Cingulo-Opercular,none
L_23c,38,LH,Cingulo-Opercular,none
L_5L,39,LH,Somatomotor,none
L_24dd,40,LH,Somatomotor,none
L_24dv,41,LH,Somatomotor,none
L_7AL,42,LH,Somatomotor,none
L_SCEF,43,LH,Cingulo-Opercular,none
L_6ma,44,LH,Cingulo-Opercular,none
L_7Am,45,LH,Cingulo-Opercular,none
L_7PL,46,LH,Dorsal-Attention,none
L_7PC,47,LH,Somatomotor,none
L_LIPv,48,LH,Visual2,none
L_VIP,49,LH,Visual2,none
L_MIP,50,LH,Dorsal-Attention,none
L_1,51,LH,Somatomotor,none
L_2,52,LH,Somatomotor,none
L_3a,53,LH,Somatomotor,none
L_6d,54,LH,Somatomotor,none
L_6mp,55,LH,Somatomotor,none
L_6v,56,LH,Somatomotor,none
L_p24pr,57,LH,Cingulo-Opercular,none
L_33pr,58,LH,Cingulo-Opercular,none
L_a24pr,59,LH,Cingulo-Opercular,none
L_p32pr,60,LH,Cingulo-Opercular,none
L_a24,61,LH,Default,none
L_d32,62,LH,Default,none
L_8BM,63,LH,Frontoparietal,none
L_p32,64,LH,Default,none
L_10r,65,LH,Default,none
L_47m,66,LH,Default,none
L_8Av,67,LH,Default,none
L_8Ad,68,LH,Default,none
L_9m,69,LH,Default,none
L_8BL,70,LH,Default,none
L_9p,71,LH,Default,none
L_10d,72,LH,Default,none
L_8C,73,LH,Frontoparietal,none
L_44,74,LH,Language,none
L_45,75,LH,Language,none
L_47l,76,LH,Default,none
L_a47r,77,LH,Frontoparietal,none
L_6r,78,LH,Cingulo-Opercular,none
L_IFJa,79,LH,Language,none
L_IFJp,80,LH,Frontoparietal,none
L_IFSp,81,LH,Language,none
L_IFSa,82,LH,Frontoparietal,none
L_p9-46v,83,LH,Frontoparietal,none
L_46,84,LH,Cingulo-Opercular,none
L_a9-46v,85,LH,Frontoparietal,none
L_9-46d,86,LH,Cingulo-Opercular,none
L_9a,87,LH,Default,none
L_10v,88,LH,Default,none
L_a10p,89,LH,Frontoparietal,none
L_10pp,90,LH,Default,none
L_11l,91,LH,Frontoparietal,none
L_13l,92,LH,Frontoparietal,none
L_OFC,93,LH,Default,none
L_47s,94,LH,Default,none
L_LIPd,95,LH,Dorsal-Attention,none
L_6a,96,LH,Dorsal-Attention,none
L_i6-8,97,LH,Frontoparietal,none
L_s6-8,98,LH,Frontoparietal,none
L_43,99,LH,Cingulo-Opercular,none
L_OP4,100,LH,Somatomotor,none
L_OP1,101,LH,Somatomotor,none
L_OP2-3,102,LH,Somatomotor,none
L_52,103,LH,Auditory,none
L_RI,104,LH,Auditory,none
L_PFcm,105,LH,Cingulo-Opercular,none
L_PoI2,106,LH,Cingulo-Opercular,none
L_TA2,107,LH,Auditory,none
L_FOP4,108,LH,Cingulo-Opercular,none
L_MI,109,LH,Cingulo-Opercular,none
